u_no	u_name	u_id	u_pw	u_birth	u_tel	u_email	u_mileage	onoff
1	강경라	user0001	user0001#	2012-09-20	010-8122-4150	yuhapn@hanmail.net	5000	1
2	강경민	user0002	user0002%	1987-01-08	010-9818-3821	clextagsmw@korea.com	10000	0
3	강경우	user0003	user0003)	1976-04-29	010-2890-1801	dgdugazb@gmail.com	5000	1
4	강경훈	user0004	user0004@	1963-12-21	010-0129-1997	nuqndyoy@naver.com	5000	0
5	강나지	user0005	user0005&	1995-09-10	010-5214-5054	fprmwmqal@hanmail.net	1000	0
6	강라나	user0006	user0006^	1957-06-12	010-5480-2969	gobtxry@naver.com	6000	1
7	강라서	user0007	user0007)	2007-04-26	010-6198-8716	tqjmv@hanmail.net	7000	1
8	강라훈	user0008	user0008@	1989-11-22	010-1305-8136	krkkfw@hanmail.net	7000	0
9	강린하	user0009	user0009$	2016-08-19	010-2759-5039	jrbwqgi@hanmail.net	5000	1
10	강민경	user0010	user0010*	1979-03-25	010-8069-4754	zjcavxvg@korea.com	8000	1
11	강빈민	user0011	user0011$	1983-12-08	010-9937-9836	ltfnllkhk@korea.com	3000	1
12	강서경	user0012	user0012*	1973-03-26	010-8883-7953	vjxekrfzdh@gmail.com	4000	1
13	강서준	user0013	user0013*	1955-11-29	010-1775-6464	lhihivi@hanmail.net	5000	1
14	강서훈	user0014	user0014#	1953-02-26	010-4539-7493	tcjgllen@gmail.com	10000	1
15	강수나	user0015	user0015^	2014-08-08	010-3695-9386	rydgqox@gmail.com	0	1
16	강연린	user0016	user0016^	1984-05-23	010-1432-9772	auqpmvijxq@gmail.com	4000	1
17	강연현	user0017	user0017#	2012-07-08	010-7249-2948	cklcmbliln@gmail.com	8000	1
18	강우현	user0018	user0018$	2019-03-06	010-8498-1739	smwqt@hanmail.net	5000	0
19	강윤빈	user0019	user0019@	1959-12-14	010-8172-8750	gxuqsgzq@hanmail.net	2000	1
20	강윤예	user0020	user0020^	1972-06-06	010-0428-5364	iglbccn@hanmail.net	5000	1
21	강율진	user0021	user0021)	1965-12-01	010-6760-9282	pkvwyqplv@naver.com	1000	1
22	강준수	user0022	user0022!	1991-03-15	010-0469-7771	uyjoa@hanmail.net	0	1
23	강지준	user0023	user0023*	2013-08-14	010-6286-5334	uajymgfdtu@gmail.com	4000	0
24	강진율	user0024	user0024)	1982-05-11	010-9517-8152	fzopbymnhm@gmail.com	6000	1
25	강훈아	user0025	user0025#	2005-02-20	010-9360-2831	hyzlfqn@korea.com	4000	1
26	강훈준	user0026	user0026#	1984-08-08	010-7030-5840	ktslmt@hanmail.net	0	1
27	강훈지	user0027	user0027%	1990-01-18	010-5622-0174	zyqrgtk@korea.com	10000	1
28	권경경	user0028	user0028*	1989-08-16	010-2169-5299	dhhvvlltby@gmail.com	5000	0
